year,duration,guests_total,guests_total_in_millions,guests_daily,guests_daily_in_thousands, beer_price ,beer_consumption,beer_consumption_in_liter, roast_chicken_price ,roast_chicken_consumption_in_kg
1985,16,7.1,7100000,444,444000,3.2,54541,5454100,4.77,629520
1986,16,6.7,6700000,419,419000,3.3,53807,5380700,3.92,698137
1987,16,6.5,6500000,406,406000,3.37,51842,5184200,3.98,732859
1988,16,5.7,5700000,356,356000,3.45,50951,5095100,4.19,720139
1989,16,6.2,6200000,388,388000,3.6,51241,5124100,4.22,775674
1990,16,6.7,6700000,419,419000,3.77,54300,5430000,4.47,750947
1991,16,6.4,6400000,400,400000,4.21,54686,5468600,4.81,807710
1992,16,5.9,5900000,369,369000,4.42,48888,4888800,5.11,725612
1993,16,6.5,6500000,406,406000,4.71,51933,5193300,5.25,733517
1994,16,6.6,6600000,413,413000,4.89,52108,5210800,5.39,663135
1995,16,6.7,6700000,419,419000,5.15,50162,5016200,5.54,628890
1996,16,6.9,6900000,431,431000,5.24,52622,5262200,5.45,595580
1997,16,6.4,6400000,400,400000,5.45,55891,5589100,5.38,699562
1998,16,6.5,6500000,406,406000,5.6,54782,5478200,5.34,603746
1999,16,6.5,6500000,406,406000,5.8,60054,6005400,5.38,609661
2000,18,6.9,6900000,383,383000,6.35,64591,6459100,7.85,681242
2001,16,5.5,5500000,344,344000,6.47,48698,4869800,8.12,351705
2002,16,5.9,5900000,369,369000,6.75,57614,5761400,8.1,459259
2003,16,6.3,6300000,394,394000,6.75,62294,6229400,8.14,487487
2004,16,5.9,5900000,369,369000,7.02,61163,6116300,8.28,481649
2005,17,6.1,6100000,359,359000,7.15,61772,6177200,8.35,479610
2006,18,6.5,6500000,361,361000,7.42,68617,6861700,8.5,494135
2007,16,6.2,6200000,388,388000,7.85,69406,6940600,8.87,521872
2008,16,6,6000000,375,375000,8.25,64922,6492200,9.06,459356
2009,16,5.7,5700000,356,356000,8.53,66436,6643600,9.18,488137
2010,17,6.4,6400000,376,376000,8.79,71000,7100000,9.6,505901
2011,17,6.9,6900000,406,406000,9.09,79225,7922500,9.83,522821
2012,16,6.4,6400000,400,400000,9.41,74025,7402500,10.07,508958
2013,16,6.4,6400000,400,400000,9.78,77031,7703100,11.1,482361
2014,16,6.3,6300000,394,394000,9.98,76808,7680800,10.49,509420
2015,16,5.9,5900000,369,369000,10.27,75134,7513400,10.75,503510
2016,17,5.6,5600000,329,329000,10.57,66231,6623100,11,366876
2017,18,6.2,6200000,344,344000,10.87,77836,7783600,11.41,466747
2018,16,6.3,6300000,394,394000,11.3,78705,7870500,11.67,436492
2019,16,6.3,6300000,394,394000,11.71,78502,7850200,12.15,434998
2022,17,5.7,5700000,335,335000,13.45,71340,7134000,13.96,313636
2023,18,7.2,7200000,400,400000,14.33,74418,7441800,15.89,396141
